age_group,income_group,city_tier,purchase_frequency,preowned_willingness,auth_importance,discount_threshold,trust_score,max_spend,luxe_loop_interest
45+,1L-2L,Tier 2,Frequently,Definitely,High,20-40%,3.42,256442,0
35-44,<25K,Tier 3,Rarely,Definitely,Low,40%+,3.94,279962,0
45+,1L-2L,Tier 3,Never,No,Low,10-20%,1.44,276479,0
18-24,1L-2L,Tier 2,Occasionally,No,Low,0%,4.45,76745,1
18-24,<25K,Tier 1,Frequently,Definitely,Medium,10-20%,4.36,179220,0
45+,25-50K,Tier 3,Frequently,No,High,0%,3.61,261445,1
45+,25-50K,Tier 1,Frequently,No,Medium,40%+,3.01,270721,0
35-44,1L-2L,Tier 1,Rarely,Maybe,High,40%+,3.89,78916,1
25-34,<25K,Tier 3,Occasionally,Definitely,Low,0%,1.02,140148,1
45+,25-50K,Tier 1,Rarely,No,Low,10-20%,3.37,64314,0
18-24,<25K,Tier 1,Occasionally,No,Low,10-20%,4.39,118583,1
35-44,<25K,Tier 2,Never,Definitely,Low,0%,2.43,89715,0
45+,<25K,Tier 1,Rarely,Maybe,High,40%+,1.43,241576,0
18-24,2L+,Tier 2,Rarely,Definitely,Low,0%,2.68,61680,0
18-24,<25K,Tier 3,Never,Maybe,High,40%+,3.91,33400,0
25-34,2L+,Tier 3,Occasionally,Definitely,High,0%,1.43,112345,0
35-44,1L-2L,Tier 2,Frequently,Definitely,Medium,40%+,1.82,203418,0
35-44,25-50K,Tier 3,Never,Definitely,Low,0%,1.59,92110,0
25-34,25-50K,Tier 1,Frequently,Definitely,Low,20-40%,4.19,125120,1
25-34,25-50K,Tier 1,Frequently,Maybe,Medium,40%+,1.25,295706,0
35-44,25-50K,Tier 1,Never,Maybe,High,10-20%,3.75,23510,0
35-44,25-50K,Tier 3,Occasionally,No,Low,0%,2.47,66608,1
45+,25-50K,Tier 1,Frequently,Definitely,High,10-20%,4.02,240699,1
45+,25-50K,Tier 3,Never,Maybe,Medium,0%,4.86,31883,0
25-34,1L-2L,Tier 1,Rarely,Maybe,High,10-20%,1.46,207499,0
45+,<25K,Tier 2,Rarely,Maybe,Low,10-20%,2.26,171916,0
18-24,50K-1L,Tier 3,Rarely,Definitely,High,0%,4.24,234995,1
45+,2L+,Tier 3,Never,No,High,0%,2.06,16094,0
45+,50K-1L,Tier 1,Rarely,Maybe,Low,10-20%,1.86,17644,1
18-24,50K-1L,Tier 3,Frequently,Definitely,Low,10-20%,4.3,237380,0
25-34,<25K,Tier 3,Rarely,Maybe,High,10-20%,4.95,90834,0
18-24,<25K,Tier 2,Rarely,Maybe,High,40%+,3.23,57748,1
45+,<25K,Tier 2,Frequently,No,Medium,40%+,2.11,67651,0
25-34,25-50K,Tier 1,Rarely,Maybe,Low,20-40%,2.59,33669,0
45+,1L-2L,Tier 2,Frequently,Maybe,High,40%+,1.68,166233,0
18-24,25-50K,Tier 1,Rarely,Definitely,Low,40%+,4.05,293683,1
18-24,1L-2L,Tier 1,Frequently,Definitely,Medium,0%,4.09,284889,0
45+,1L-2L,Tier 1,Rarely,No,High,20-40%,4.5,175505,0
35-44,50K-1L,Tier 3,Frequently,Definitely,High,20-40%,1.11,238670,1
35-44,50K-1L,Tier 2,Never,Definitely,High,40%+,3.25,299827,1
18-24,1L-2L,Tier 1,Frequently,No,Low,0%,1.86,30741,0
18-24,1L-2L,Tier 2,Rarely,Maybe,Medium,0%,2.36,158358,0
35-44,25-50K,Tier 1,Rarely,No,Low,20-40%,4.14,8599,1
35-44,25-50K,Tier 2,Occasionally,Definitely,High,0%,1.77,133513,0
45+,50K-1L,Tier 2,Frequently,No,Medium,10-20%,3.55,294437,0
45+,<25K,Tier 1,Never,Maybe,High,40%+,3.62,282533,1
35-44,1L-2L,Tier 3,Frequently,No,High,10-20%,4.82,279462,0
45+,25-50K,Tier 2,Frequently,Definitely,Low,20-40%,4.1,270199,0
45+,50K-1L,Tier 3,Never,Definitely,High,20-40%,4.21,126164,1
25-34,25-50K,Tier 3,Frequently,No,Medium,0%,3.13,87579,0
45+,1L-2L,Tier 1,Never,Maybe,High,0%,1.75,142392,0
18-24,1L-2L,Tier 1,Never,No,High,20-40%,2.7,109817,0
45+,2L+,Tier 1,Frequently,Maybe,Low,20-40%,3.2,9642,1
45+,<25K,Tier 2,Frequently,Maybe,Medium,10-20%,3.71,14321,0
35-44,2L+,Tier 1,Rarely,No,Low,10-20%,3.43,224365,1
18-24,50K-1L,Tier 1,Rarely,Maybe,High,0%,2.58,107770,1
45+,25-50K,Tier 2,Occasionally,Definitely,Low,10-20%,2.06,158043,0
45+,50K-1L,Tier 2,Occasionally,No,Low,0%,1.67,261054,1
25-34,1L-2L,Tier 1,Frequently,Maybe,Low,0%,3.78,119183,0
45+,2L+,Tier 1,Never,Definitely,Low,40%+,3.58,122159,0
45+,2L+,Tier 1,Occasionally,No,High,0%,3.75,292871,0
25-34,2L+,Tier 1,Frequently,Definitely,High,10-20%,2.49,78820,1
35-44,50K-1L,Tier 3,Occasionally,Definitely,Medium,20-40%,2.05,114062,0
45+,1L-2L,Tier 3,Never,Definitely,Low,20-40%,4.04,219273,0
25-34,25-50K,Tier 1,Frequently,Maybe,Low,10-20%,4.09,32476,0
18-24,25-50K,Tier 3,Never,No,Medium,20-40%,2.82,147063,1
35-44,50K-1L,Tier 2,Frequently,No,Low,0%,3.45,221169,1
18-24,2L+,Tier 3,Occasionally,Maybe,Medium,20-40%,2.49,125355,0
18-24,<25K,Tier 3,Rarely,No,High,10-20%,3.81,75047,0
25-34,50K-1L,Tier 1,Occasionally,Definitely,Medium,20-40%,4.34,146868,0
45+,50K-1L,Tier 3,Occasionally,No,Low,0%,3.75,8881,0
25-34,1L-2L,Tier 3,Rarely,Maybe,Medium,0%,3.05,20668,1
25-34,25-50K,Tier 3,Rarely,Definitely,High,10-20%,2.83,236789,1
25-34,50K-1L,Tier 3,Frequently,Maybe,Low,10-20%,3.57,170384,1
25-34,50K-1L,Tier 2,Frequently,Definitely,High,10-20%,3.72,33106,1
35-44,2L+,Tier 1,Never,Definitely,High,40%+,3.23,228830,1
45+,2L+,Tier 1,Never,No,Medium,40%+,3.5,282873,1
18-24,<25K,Tier 2,Occasionally,Definitely,High,0%,1.39,134354,1
18-24,1L-2L,Tier 3,Rarely,Maybe,Low,40%+,4.81,75320,0
45+,<25K,Tier 2,Never,No,High,40%+,4.16,126649,0
18-24,2L+,Tier 3,Occasionally,Maybe,High,20-40%,2.5,173354,0
45+,25-50K,Tier 2,Rarely,Definitely,Medium,40%+,3.25,174290,0
18-24,2L+,Tier 1,Frequently,Maybe,High,20-40%,1.19,64739,0
25-34,1L-2L,Tier 1,Occasionally,Maybe,Medium,10-20%,1.16,253765,0
18-24,2L+,Tier 1,Frequently,Definitely,Medium,20-40%,2.0,271651,1
45+,1L-2L,Tier 3,Never,No,Low,20-40%,3.76,182375,0
45+,1L-2L,Tier 3,Never,Maybe,Low,10-20%,4.41,107552,1
45+,1L-2L,Tier 2,Rarely,Definitely,Low,10-20%,3.24,84059,0
45+,1L-2L,Tier 2,Occasionally,No,Low,0%,3.13,160739,1
45+,1L-2L,Tier 1,Frequently,No,Medium,0%,2.61,140064,1
35-44,25-50K,Tier 3,Rarely,No,High,0%,1.65,242898,0
35-44,<25K,Tier 2,Never,Maybe,Low,0%,1.47,135514,0
18-24,50K-1L,Tier 3,Never,Maybe,Low,20-40%,4.04,30530,0
45+,<25K,Tier 3,Occasionally,Maybe,Low,20-40%,4.71,246348,0
18-24,1L-2L,Tier 1,Frequently,No,High,0%,2.83,20305,0
45+,25-50K,Tier 1,Occasionally,Maybe,Low,40%+,3.64,114097,1
45+,2L+,Tier 3,Frequently,Definitely,High,0%,4.66,258805,0
35-44,25-50K,Tier 3,Frequently,Maybe,Medium,40%+,1.36,223339,1
35-44,1L-2L,Tier 3,Occasionally,Maybe,Medium,10-20%,4.08,57044,1
25-34,25-50K,Tier 3,Rarely,No,Medium,20-40%,3.47,135436,1
35-44,25-50K,Tier 1,Occasionally,Maybe,High,20-40%,3.39,94363,0
25-34,1L-2L,Tier 2,Occasionally,Definitely,Low,40%+,2.17,108038,0
25-34,25-50K,Tier 1,Never,No,Low,0%,3.74,51666,0
25-34,50K-1L,Tier 2,Never,Definitely,Low,20-40%,4.18,286053,0
25-34,50K-1L,Tier 3,Occasionally,No,Low,40%+,1.45,27525,0
25-34,25-50K,Tier 2,Occasionally,No,Low,10-20%,3.13,117293,0
18-24,2L+,Tier 1,Never,Maybe,High,10-20%,1.41,106046,1
35-44,1L-2L,Tier 1,Frequently,Definitely,Medium,20-40%,4.49,42403,0
25-34,50K-1L,Tier 3,Occasionally,No,Low,0%,3.03,173265,1
45+,2L+,Tier 1,Rarely,Maybe,Medium,40%+,4.23,136605,1
35-44,25-50K,Tier 3,Rarely,No,High,20-40%,2.47,248626,0
35-44,2L+,Tier 1,Rarely,No,High,10-20%,1.5,157018,0
25-34,<25K,Tier 1,Occasionally,No,Low,0%,1.17,290648,0
18-24,50K-1L,Tier 3,Frequently,No,High,40%+,2.13,115551,0
25-34,25-50K,Tier 2,Frequently,No,Medium,20-40%,1.98,164327,0
18-24,1L-2L,Tier 1,Never,No,Low,40%+,3.24,41855,0
45+,25-50K,Tier 2,Occasionally,Maybe,Low,0%,1.09,46721,1
35-44,1L-2L,Tier 1,Frequently,No,Medium,0%,3.08,116597,1
45+,25-50K,Tier 1,Occasionally,Definitely,Low,10-20%,2.57,177922,1
18-24,2L+,Tier 1,Never,Maybe,Low,0%,3.31,171811,1
18-24,2L+,Tier 1,Never,Definitely,Medium,20-40%,3.81,265429,1
45+,2L+,Tier 2,Never,No,Low,40%+,3.54,10539,1
18-24,<25K,Tier 2,Rarely,Definitely,Low,0%,4.94,121360,0
45+,1L-2L,Tier 1,Occasionally,No,Medium,0%,1.55,157383,0
35-44,2L+,Tier 1,Never,No,High,20-40%,2.72,239315,0
45+,<25K,Tier 2,Occasionally,Maybe,Medium,40%+,2.7,276619,1
35-44,1L-2L,Tier 3,Rarely,Maybe,Low,40%+,2.67,199202,1
45+,25-50K,Tier 3,Rarely,No,Medium,10-20%,3.66,263040,1
18-24,<25K,Tier 2,Never,Maybe,Low,10-20%,2.96,293152,0
45+,50K-1L,Tier 1,Never,Definitely,Low,40%+,3.07,212940,0
18-24,<25K,Tier 1,Frequently,Maybe,Medium,20-40%,2.73,47756,0
45+,<25K,Tier 3,Occasionally,Maybe,Low,20-40%,4.97,206330,1
45+,1L-2L,Tier 3,Never,Definitely,High,10-20%,4.71,85730,1
25-34,25-50K,Tier 2,Frequently,Maybe,Low,0%,2.23,87702,1
18-24,50K-1L,Tier 3,Occasionally,No,Medium,20-40%,1.45,186731,0
25-34,2L+,Tier 2,Never,Definitely,High,0%,4.36,217584,1
18-24,2L+,Tier 3,Frequently,No,High,20-40%,4.99,61690,0
25-34,<25K,Tier 3,Frequently,Definitely,Low,40%+,2.17,213654,0
35-44,1L-2L,Tier 3,Occasionally,No,Medium,10-20%,2.43,103980,0
45+,1L-2L,Tier 1,Frequently,No,Low,0%,4.77,166080,0
18-24,2L+,Tier 1,Occasionally,Maybe,Low,0%,3.84,63704,0
18-24,50K-1L,Tier 1,Occasionally,No,Medium,40%+,2.18,247153,0
45+,25-50K,Tier 3,Occasionally,Maybe,Medium,20-40%,3.32,275526,0
18-24,50K-1L,Tier 2,Rarely,Definitely,Low,0%,4.78,210134,1
18-24,25-50K,Tier 2,Frequently,No,High,20-40%,4.25,51698,0
25-34,2L+,Tier 2,Occasionally,No,Low,40%+,3.97,268254,1
18-24,25-50K,Tier 2,Never,Definitely,High,10-20%,3.95,136458,0
35-44,1L-2L,Tier 1,Rarely,Definitely,Low,0%,1.71,220192,0
35-44,<25K,Tier 1,Rarely,No,Medium,20-40%,4.3,247282,0
45+,<25K,Tier 3,Frequently,Definitely,High,0%,2.1,207929,1
18-24,2L+,Tier 3,Occasionally,Maybe,Medium,20-40%,4.72,36566,0
45+,1L-2L,Tier 2,Frequently,Definitely,Medium,20-40%,2.46,246300,0
35-44,50K-1L,Tier 1,Rarely,Definitely,Medium,20-40%,4.43,28798,1
18-24,1L-2L,Tier 2,Occasionally,No,Medium,40%+,2.06,28027,1
18-24,<25K,Tier 3,Never,Maybe,Medium,10-20%,3.06,272775,1
45+,<25K,Tier 3,Occasionally,Definitely,Low,0%,1.43,225937,1
35-44,1L-2L,Tier 2,Rarely,Maybe,High,10-20%,3.64,244628,0
18-24,1L-2L,Tier 3,Never,Maybe,Low,20-40%,4.34,61878,0
45+,<25K,Tier 2,Occasionally,Maybe,Low,20-40%,3.87,50206,1
35-44,50K-1L,Tier 1,Never,No,Low,10-20%,3.09,108473,0
45+,2L+,Tier 2,Never,Definitely,Medium,10-20%,1.18,63334,1
25-34,2L+,Tier 1,Rarely,No,Low,0%,4.73,58619,1
18-24,1L-2L,Tier 1,Never,Definitely,High,20-40%,3.82,108536,1
25-34,2L+,Tier 3,Frequently,Definitely,Low,10-20%,3.98,160586,0
35-44,<25K,Tier 3,Rarely,No,Medium,40%+,4.18,158652,1
25-34,<25K,Tier 3,Frequently,Maybe,High,20-40%,3.99,264201,0
25-34,1L-2L,Tier 2,Never,Maybe,High,20-40%,2.76,221899,0
35-44,1L-2L,Tier 2,Frequently,Definitely,High,0%,3.93,11734,0
45+,1L-2L,Tier 3,Occasionally,No,High,40%+,3.5,219072,1
25-34,50K-1L,Tier 2,Never,Maybe,Low,0%,4.42,143886,0
45+,2L+,Tier 3,Occasionally,Maybe,Medium,40%+,4.21,143923,1
25-34,1L-2L,Tier 2,Frequently,Definitely,High,0%,1.17,137672,0
45+,25-50K,Tier 1,Occasionally,Definitely,High,40%+,2.52,61614,0
35-44,25-50K,Tier 1,Never,No,Medium,40%+,1.14,208474,0
25-34,<25K,Tier 3,Occasionally,Definitely,Low,40%+,1.41,270836,1
35-44,2L+,Tier 2,Frequently,Maybe,High,10-20%,3.41,131745,1
25-34,1L-2L,Tier 2,Frequently,Maybe,Low,20-40%,4.5,194099,1
35-44,25-50K,Tier 1,Frequently,Maybe,Low,40%+,1.48,253843,1
35-44,2L+,Tier 1,Never,Maybe,Low,10-20%,2.8,287517,0
25-34,<25K,Tier 3,Frequently,No,Low,10-20%,4.64,234708,0
25-34,50K-1L,Tier 1,Never,No,High,0%,4.26,19507,1
25-34,2L+,Tier 3,Occasionally,Definitely,High,20-40%,3.08,80499,1
18-24,2L+,Tier 1,Frequently,Definitely,Low,20-40%,4.09,207714,1
45+,50K-1L,Tier 1,Occasionally,Definitely,Low,0%,3.09,208941,1
18-24,2L+,Tier 2,Rarely,No,Medium,20-40%,1.63,108612,0
18-24,<25K,Tier 1,Occasionally,Maybe,Medium,0%,1.5,91120,1
35-44,<25K,Tier 1,Rarely,Definitely,Medium,10-20%,1.75,71600,1
25-34,50K-1L,Tier 3,Occasionally,Maybe,High,10-20%,2.4,46848,0
45+,1L-2L,Tier 1,Never,Definitely,Medium,40%+,4.72,11820,1
35-44,25-50K,Tier 3,Occasionally,Definitely,High,0%,4.2,275656,0
18-24,1L-2L,Tier 1,Never,Definitely,High,10-20%,2.73,172797,1
25-34,2L+,Tier 1,Never,Definitely,High,10-20%,2.97,221223,0
35-44,25-50K,Tier 3,Frequently,Definitely,High,0%,2.06,175848,1
25-34,50K-1L,Tier 2,Never,Maybe,Medium,10-20%,3.82,65945,1
35-44,50K-1L,Tier 3,Rarely,Definitely,Low,20-40%,4.21,250420,1
25-34,25-50K,Tier 3,Frequently,Maybe,Low,10-20%,1.96,183527,1
18-24,<25K,Tier 3,Frequently,No,Low,0%,1.17,188505,1
45+,25-50K,Tier 2,Occasionally,Definitely,Medium,20-40%,3.5,276855,0
18-24,2L+,Tier 1,Never,Maybe,Low,20-40%,3.25,195334,1
45+,<25K,Tier 3,Never,No,Medium,10-20%,2.61,91009,0
25-34,50K-1L,Tier 3,Rarely,No,Medium,40%+,3.58,219857,0
35-44,25-50K,Tier 2,Occasionally,No,Medium,20-40%,3.2,14597,0
18-24,1L-2L,Tier 3,Occasionally,Maybe,Low,0%,2.0,65067,0
45+,1L-2L,Tier 1,Frequently,Definitely,Low,40%+,2.59,223592,1
18-24,2L+,Tier 2,Frequently,Definitely,Low,40%+,2.71,53022,1
45+,1L-2L,Tier 1,Frequently,Maybe,High,20-40%,4.52,217996,1
18-24,25-50K,Tier 1,Rarely,Definitely,Medium,10-20%,4.84,56782,1
45+,25-50K,Tier 2,Rarely,Maybe,High,40%+,4.57,191085,0
45+,1L-2L,Tier 3,Frequently,Definitely,Medium,10-20%,3.88,90745,0
25-34,25-50K,Tier 1,Occasionally,No,Low,20-40%,3.34,239648,0
45+,2L+,Tier 1,Rarely,Definitely,Medium,0%,3.76,119836,1
25-34,<25K,Tier 1,Occasionally,Maybe,Medium,40%+,4.76,111998,1
45+,2L+,Tier 1,Occasionally,Maybe,High,0%,2.0,55021,1
35-44,2L+,Tier 2,Never,No,Medium,10-20%,3.14,135672,1
35-44,25-50K,Tier 2,Frequently,Maybe,Low,10-20%,3.76,225587,0
35-44,<25K,Tier 1,Never,Definitely,Medium,0%,3.72,213833,1
45+,25-50K,Tier 3,Frequently,Definitely,Medium,20-40%,2.01,82017,1
25-34,50K-1L,Tier 1,Frequently,No,Medium,20-40%,3.35,246421,0
25-34,25-50K,Tier 3,Occasionally,Maybe,High,40%+,4.18,191894,0
45+,25-50K,Tier 1,Frequently,No,Medium,40%+,2.9,85291,1
35-44,25-50K,Tier 3,Occasionally,Definitely,Medium,20-40%,4.17,171664,1
35-44,<25K,Tier 1,Occasionally,No,High,20-40%,2.44,61006,0
25-34,25-50K,Tier 3,Frequently,Maybe,High,0%,4.76,109268,1
35-44,<25K,Tier 1,Occasionally,No,High,10-20%,3.14,67398,0
18-24,1L-2L,Tier 1,Occasionally,Maybe,High,10-20%,3.38,226163,0
25-34,50K-1L,Tier 3,Occasionally,Maybe,Low,40%+,1.13,155946,1
35-44,<25K,Tier 2,Rarely,Definitely,Low,20-40%,1.68,130613,0
25-34,1L-2L,Tier 3,Occasionally,Definitely,Medium,0%,3.53,107071,1
18-24,<25K,Tier 2,Rarely,Definitely,Low,40%+,2.68,115572,1
25-34,<25K,Tier 1,Rarely,Maybe,Medium,0%,3.03,252766,1
25-34,50K-1L,Tier 3,Occasionally,No,Low,20-40%,1.25,143997,1
25-34,2L+,Tier 3,Occasionally,Maybe,High,20-40%,4.34,270251,0
25-34,2L+,Tier 3,Rarely,Definitely,High,20-40%,4.14,91388,1
18-24,<25K,Tier 2,Rarely,Definitely,Low,10-20%,1.74,100719,1
45+,25-50K,Tier 2,Occasionally,No,Low,20-40%,3.54,123018,0
25-34,1L-2L,Tier 1,Occasionally,Definitely,Medium,40%+,4.27,294761,1
25-34,25-50K,Tier 2,Frequently,Definitely,Medium,10-20%,3.56,79258,1
35-44,25-50K,Tier 2,Rarely,Definitely,Medium,0%,2.24,131998,1
25-34,<25K,Tier 1,Rarely,No,High,40%+,3.62,289775,1
35-44,<25K,Tier 3,Frequently,Maybe,High,40%+,1.84,128120,0
45+,<25K,Tier 3,Rarely,Definitely,High,0%,2.27,198516,0
18-24,<25K,Tier 1,Never,No,High,10-20%,1.96,51221,1
18-24,2L+,Tier 3,Rarely,Definitely,Medium,40%+,3.23,153269,0
45+,<25K,Tier 2,Frequently,No,High,40%+,1.43,38550,0
18-24,2L+,Tier 1,Never,Definitely,High,40%+,4.73,281786,0
45+,2L+,Tier 1,Occasionally,No,High,10-20%,2.33,111093,0
45+,<25K,Tier 1,Frequently,Definitely,High,10-20%,1.88,266188,1
45+,50K-1L,Tier 3,Frequently,Maybe,Low,10-20%,2.99,98885,0
18-24,1L-2L,Tier 1,Occasionally,Definitely,Medium,40%+,2.11,84538,1
35-44,25-50K,Tier 1,Frequently,No,Medium,20-40%,3.14,286667,1
45+,2L+,Tier 1,Rarely,Definitely,High,0%,2.39,206615,0
25-34,1L-2L,Tier 3,Occasionally,Maybe,Low,20-40%,1.53,110879,1
18-24,50K-1L,Tier 2,Frequently,Definitely,Medium,10-20%,2.06,95629,0
45+,25-50K,Tier 1,Occasionally,No,Medium,40%+,2.75,120266,1
45+,25-50K,Tier 2,Occasionally,No,High,40%+,1.12,193362,1
25-34,2L+,Tier 3,Occasionally,Maybe,High,20-40%,4.08,279843,0
35-44,<25K,Tier 3,Never,No,Medium,20-40%,3.49,236241,1
35-44,50K-1L,Tier 3,Frequently,Definitely,Medium,0%,3.41,256249,0
35-44,2L+,Tier 3,Never,Definitely,Low,40%+,3.18,71912,1
45+,50K-1L,Tier 2,Frequently,Definitely,Medium,20-40%,3.36,150327,1
45+,<25K,Tier 1,Rarely,No,Medium,0%,4.74,84183,0
45+,<25K,Tier 3,Rarely,Definitely,High,10-20%,1.03,65282,0
18-24,2L+,Tier 3,Rarely,Definitely,Medium,20-40%,1.19,63249,0
25-34,<25K,Tier 2,Frequently,Definitely,High,10-20%,1.77,43176,1
45+,1L-2L,Tier 2,Occasionally,Maybe,Medium,0%,1.67,13163,0
25-34,25-50K,Tier 3,Occasionally,No,Medium,10-20%,1.72,128844,0
25-34,2L+,Tier 1,Never,No,Medium,40%+,3.69,236352,0
35-44,50K-1L,Tier 1,Never,No,Low,40%+,2.84,83860,0
18-24,1L-2L,Tier 3,Rarely,Maybe,High,10-20%,4.97,157215,1
45+,2L+,Tier 2,Never,No,Low,40%+,1.91,272064,1
35-44,<25K,Tier 3,Frequently,Maybe,Medium,0%,2.24,87911,1
35-44,<25K,Tier 3,Frequently,Maybe,Low,40%+,4.94,52252,1
45+,<25K,Tier 2,Never,No,High,10-20%,4.33,57756,1
25-34,<25K,Tier 3,Never,Definitely,Medium,10-20%,2.88,216325,1
35-44,50K-1L,Tier 3,Never,Definitely,Low,10-20%,3.22,290369,0
25-34,1L-2L,Tier 3,Never,No,Low,20-40%,4.37,204245,1
18-24,25-50K,Tier 2,Rarely,No,High,10-20%,2.92,90333,0
25-34,50K-1L,Tier 1,Rarely,Maybe,Low,0%,1.82,176297,0
18-24,50K-1L,Tier 1,Never,No,High,40%+,4.31,277951,0
25-34,25-50K,Tier 2,Frequently,Maybe,Medium,40%+,3.15,11402,0
35-44,25-50K,Tier 1,Rarely,No,Medium,20-40%,1.61,9521,1
35-44,<25K,Tier 3,Frequently,Definitely,Low,20-40%,3.02,199237,1
18-24,50K-1L,Tier 1,Occasionally,Definitely,Medium,0%,2.65,255885,1
45+,2L+,Tier 3,Frequently,No,Medium,10-20%,4.51,13382,0
18-24,25-50K,Tier 1,Never,Maybe,Low,20-40%,1.5,20065,1
18-24,25-50K,Tier 2,Occasionally,Definitely,Medium,40%+,4.5,19425,1
25-34,1L-2L,Tier 1,Rarely,Maybe,Low,20-40%,3.05,280255,1
25-34,2L+,Tier 1,Rarely,No,High,20-40%,2.62,176871,1
18-24,2L+,Tier 1,Occasionally,No,High,10-20%,1.65,58257,1
35-44,25-50K,Tier 2,Frequently,Definitely,High,20-40%,3.8,197249,1
25-34,<25K,Tier 1,Rarely,No,Low,0%,4.71,13816,0
45+,1L-2L,Tier 2,Never,Definitely,Low,40%+,2.5,7175,0
25-34,2L+,Tier 3,Occasionally,Maybe,Medium,10-20%,1.97,278485,1
25-34,25-50K,Tier 1,Never,Definitely,Medium,40%+,3.22,161726,0
45+,2L+,Tier 2,Occasionally,Definitely,Medium,0%,4.18,64696,0
18-24,1L-2L,Tier 2,Rarely,Maybe,Medium,0%,1.02,193961,1
45+,1L-2L,Tier 1,Frequently,Definitely,Medium,20-40%,3.53,223216,0
18-24,50K-1L,Tier 3,Occasionally,Definitely,Low,20-40%,3.39,297338,1
18-24,25-50K,Tier 2,Occasionally,No,Low,20-40%,2.27,89358,0
18-24,1L-2L,Tier 1,Never,Maybe,High,40%+,2.81,177648,1
45+,50K-1L,Tier 3,Rarely,Definitely,High,0%,1.99,155799,0
18-24,50K-1L,Tier 2,Never,Maybe,High,10-20%,4.16,39579,0
35-44,2L+,Tier 2,Rarely,Maybe,High,20-40%,3.54,101554,0
45+,2L+,Tier 3,Never,Definitely,Low,40%+,3.13,152627,0
35-44,50K-1L,Tier 3,Occasionally,No,Low,20-40%,2.57,54777,1
18-24,2L+,Tier 1,Never,Maybe,Low,0%,2.17,45751,0
25-34,1L-2L,Tier 1,Frequently,Definitely,Medium,10-20%,4.29,205671,1
18-24,<25K,Tier 2,Rarely,Maybe,Medium,0%,2.81,113750,1
35-44,1L-2L,Tier 3,Rarely,No,High,40%+,3.01,79180,0
35-44,50K-1L,Tier 3,Occasionally,No,Medium,20-40%,3.08,243986,0
45+,50K-1L,Tier 3,Rarely,No,Low,0%,2.79,209750,1
25-34,1L-2L,Tier 2,Frequently,Definitely,High,40%+,2.02,298788,0
45+,2L+,Tier 3,Never,Definitely,High,20-40%,1.48,38521,1
35-44,2L+,Tier 3,Occasionally,No,Medium,10-20%,1.39,16564,0
18-24,50K-1L,Tier 2,Frequently,Definitely,High,0%,4.03,110155,1
25-34,25-50K,Tier 1,Rarely,No,Medium,20-40%,1.89,192150,0
18-24,2L+,Tier 1,Rarely,Definitely,Medium,20-40%,1.22,278346,0
18-24,1L-2L,Tier 2,Frequently,No,High,20-40%,4.19,139757,1
25-34,2L+,Tier 3,Never,Maybe,Medium,20-40%,1.62,95197,1
45+,1L-2L,Tier 2,Never,No,Medium,0%,3.5,47637,1
18-24,50K-1L,Tier 1,Occasionally,No,Medium,20-40%,2.35,154438,0
35-44,2L+,Tier 1,Rarely,Definitely,Medium,40%+,1.51,29276,0
18-24,1L-2L,Tier 2,Frequently,Definitely,High,0%,2.66,160647,0
25-34,50K-1L,Tier 2,Never,Definitely,Low,20-40%,1.06,215496,0
25-34,25-50K,Tier 1,Occasionally,Definitely,Low,0%,4.36,134526,1
25-34,1L-2L,Tier 2,Rarely,Definitely,Medium,40%+,3.05,159093,1
45+,25-50K,Tier 1,Rarely,Definitely,Medium,40%+,1.56,6532,0
18-24,25-50K,Tier 2,Occasionally,Maybe,Medium,0%,1.95,107666,0
45+,<25K,Tier 2,Occasionally,No,Low,20-40%,2.79,186877,0
45+,2L+,Tier 2,Never,No,Medium,20-40%,1.76,86551,1
25-34,1L-2L,Tier 1,Frequently,No,High,40%+,2.07,173828,1
25-34,25-50K,Tier 2,Rarely,Maybe,High,20-40%,3.14,76880,0
45+,<25K,Tier 1,Frequently,No,High,40%+,4.33,111734,1
18-24,50K-1L,Tier 1,Rarely,Maybe,Low,20-40%,2.61,210714,0
35-44,1L-2L,Tier 2,Rarely,Maybe,Medium,40%+,3.87,118123,0
45+,25-50K,Tier 2,Frequently,Maybe,Medium,10-20%,4.51,211260,1
18-24,2L+,Tier 1,Occasionally,No,Medium,20-40%,1.87,92897,1
25-34,<25K,Tier 1,Never,Maybe,Low,20-40%,4.23,171919,1
25-34,25-50K,Tier 3,Rarely,No,Low,20-40%,4.03,109599,1
18-24,2L+,Tier 1,Occasionally,No,Low,0%,2.43,285786,0
35-44,25-50K,Tier 3,Rarely,Definitely,Low,20-40%,4.96,253751,1
25-34,1L-2L,Tier 3,Never,Definitely,High,0%,2.05,41509,1
25-34,1L-2L,Tier 3,Rarely,Maybe,Low,0%,2.02,151486,1
25-34,1L-2L,Tier 2,Never,Maybe,Low,40%+,4.09,133633,1
18-24,<25K,Tier 2,Never,No,Low,0%,2.74,122181,0
45+,1L-2L,Tier 1,Rarely,Maybe,Medium,0%,2.32,67059,0
25-34,2L+,Tier 3,Rarely,Maybe,Medium,10-20%,1.71,46091,1
45+,25-50K,Tier 2,Never,No,Medium,20-40%,4.06,209196,1
35-44,50K-1L,Tier 2,Occasionally,Maybe,High,0%,4.15,5903,0
25-34,2L+,Tier 2,Frequently,Maybe,High,20-40%,3.27,246024,0
